
===#charging Data ===
Time (s),Voltage (V)
0.00,0.00
4.17,0.77
8.33,1.42
12.50,1.97
16.67,2.43
20.83,2.83
25.00,3.16
29.17,3.44
33.33,3.68
37.50,3.88
41.67,4.06
45.83,4.20
50.00,4.32
54.17,4.43
58.33,4.52
62.50,4.59
66.67,4.65
70.83,4.71
75.00,4.75
79.17,4.79
83.33,4.82
87.50,4.85
91.67,4.87
95.83,4.89
100.00,4.91
104.17,4.92
108.33,4.93
112.50,4.94
116.67,4.95
120.83,4.96
125.00,4.97

===#charging Data ===
Time (s),Voltage (V)
0.00,0.00
0.67,0.31
1.33,0.57
2.00,0.79
2.67,0.97
3.33,1.13
4.00,1.26
4.67,1.38
5.33,1.47
6.00,1.55
6.67,1.62
7.33,1.68
8.00,1.73
8.67,1.77
9.33,1.81
10.00,1.84
10.67,1.86
11.33,1.88
12.00,1.90
12.67,1.92
13.33,1.93
14.00,1.94
14.67,1.95
15.33,1.96
16.00,1.96
16.67,1.97
17.33,1.97
18.00,1.98
18.67,1.98
19.33,1.98
20.00,1.99

===#charging Data ===
Time (s),Voltage (V)
0.00,0.00
1.50,0.46
3.00,0.85
4.50,1.18
6.00,1.46
7.50,1.70
9.00,1.90
10.50,2.07
12.00,2.21
13.50,2.33
15.00,2.43
16.50,2.52
18.00,2.59
19.50,2.66
21.00,2.71
22.50,2.75
24.00,2.79
25.50,2.82
27.00,2.85
28.50,2.87
30.00,2.89
31.50,2.91
33.00,2.92
34.50,2.94
36.00,2.95
37.50,2.95
39.00,2.96
40.50,2.97
42.00,2.97
43.50,2.98
45.00,2.98

===#charging Data ===
Time (s),Voltage (V)
0.00,0.00
1.50,0.46
3.00,0.85
4.50,1.18
6.00,1.46
7.50,1.70
9.00,1.90
10.50,2.07
12.00,2.21
13.50,2.33
15.00,2.43
16.50,2.52
18.00,2.59
19.50,2.66
21.00,2.71
22.50,2.75
24.00,2.79
25.50,2.82
27.00,2.85
28.50,2.87
30.00,2.89
31.50,2.91
